Origin,Destination
A0: All Stations,AG09: Hang Tuah
A0: All Stations,KG08: Mutiara Damansara
A0: All Stations,KG33: Sungai Jernih
A0: All Stations,KJ29: SS 15
A0: All Stations,KJ22: Taman Paramount
A0: All Stations,KJ12: Dang Wangi
A0: All Stations,SP24: IOI Puchong Jaya
A0: All Stations,MR02: Tun Sambanthan
A0: All Stations,KG34: Stadium Kajang
A0: All Stations,PYL03: Kampung Selamat
A0: All Stations,KJ07: Dato' Keramat
A0: All Stations,AG17: Cahaya
A0: All Stations,KJ01: Gombak
A0: All Stations,MR04: Hang Tuah
A0: All Stations,KJ36: Subang Alam
A0: All Stations,KJ11: Kampung Baru
A0: All Stations,KJ35: Alam Megah
A0: All Stations,AG06: Bandaraya
A0: All Stations,KJ03: Wangsa Maju
A0: All Stations,AG16: Cempaka
A0: All Stations,KG26: Taman Connaught
A0: All Stations,BRT02: Mentari
A0: All Stations,AG08: Plaza Rakyat
A0: All Stations,KG22: Maluri
A0: All Stations,SP16: Sungai Besi
A0: All Stations,KG25: Taman Mutiara
A0: All Stations,AG12: Miharja
A0: All Stations,KJ16: Bank Rakyat Bangsar
A0: All Stations,SP25: Pusat Bandar Puchong
A0: All Stations,KG31: Bukit Dukung
A0: All Stations,KG17: Merdeka
A0: All Stations,SP15: Bandar Tasik Selatan
A0: All Stations,KG18: Bukit Bintang
A0: All Stations,SP27: Bandar Puteri
A0: All Stations,KG05: Kwasa Sentral
A0: All Stations,AG05: Sultan Ismail
A0: All Stations,AG10: Pudu
A0: All Stations,PYL04: Sungai Buloh
A0: All Stations,KG10: TTDI
A0: All Stations,KG14: Semantan
A0: All Stations,KJ24: Kelana Jaya
A0: All Stations,MR06: Bukit Bintang
A0: All Stations,MR07: Raja Chulan
A0: All Stations,KJ04: Sri Rampai
A0: All Stations,KG15: Muzium Negara
A0: All Stations,KJ21: Asia Jaya
A0: All Stations,KG16: Pasar Seni
A0: All Stations,KJ17: Abdullah Hukum
A0: All Stations,BRT01: Sunway-Setia Jaya
A0: All Stations,BRT04: SunMed
A0: All Stations,KG04: Kwasa Damansara
A0: All Stations,KG12: Phileo Damansara
A0: All Stations,KJ10: KLCC
A0: All Stations,KG27: Taman Suntex
A0: All Stations,KG24: Taman Midah
A0: All Stations,MR08: Bukit Nanas
A0: All Stations,SP20: Muhibbah
A0: All Stations,KJ02: Taman Melati
A0: All Stations,KJ25: Lembah Subang
A0: All Stations,KJ20: Taman Jaya
A0: All Stations,SP28: Puchong Perdana
A0: All Stations,SP31: Putra Heights
A0: All Stations,AG03: Titiwangsa
A0: All Stations,KJ23: Taman Bahagia
A0: All Stations,MR09: Medan Tuanku
A0: All Stations,KG35: Kajang
A0: All Stations,MR05: Imbi
A0: All Stations,KJ19: Universiti
A0: All Stations,KG23: Taman Pertama
A0: All Stations,KJ28: Subang Jaya
A0: All Stations,KJ09: Ampang Park
A0: All Stations,AG11: Chan Sow Lin
A0: All Stations,KG13: Pusat Bandar Damansara
A0: All Stations,SP13: Salak Selatan
A0: All Stations,BRT05: SunU-Monash
A0: All Stations,AG13: Maluri
A0: All Stations,SP29: Puchong Prima
A0: All Stations,KG06: Kota Damansara
A0: All Stations,KJ33: Wawasan
A0: All Stations,SP21: Alam Sutera
A0: All Stations,KJ06: Jelatek
A0: All Stations,AG15: Pandan Indah
A0: All Stations,AG04: PWTC
A0: All Stations,SP17: Bukit Jalil
A0: All Stations,KG09: Bandar Utama
A0: All Stations,KJ14: Pasar Seni
A0: All Stations,MR03: Maharajalela
A0: All Stations,KJ34: USJ 21
A0: All Stations,MR10: Chow Kit
A0: All Stations,KJ13: Masjid Jamek
A0: All Stations,KJ31: USJ 7
A0: All Stations,KJ30: SS 18
A0: All Stations,AG01: Sentul Timur
A0: All Stations,KG20: Tun Razak Exchange
A0: All Stations,AG18: Ampang
A0: All Stations,KJ26: Ara Damansara
A0: All Stations,SP22: Kinrara
A0: All Stations,SP18: Sri Petaling
A0: All Stations,KJ27: Cgc Glenmarie
A0: All Stations,AG14: Pandan Jaya
A0: All Stations,SP14: Bandar Tun Razak
A0: All Stations,KJ15: KL Sentral
A0: All Stations,KG30: Batu 11 Cheras
A0: All Stations,SP26: Taman Perindustrian Puchong
A0: All Stations,KG07: Surian
A0: All Stations,MR11: Titiwangsa
A0: All Stations,KG21: Cochrane
A0: All Stations,SP12: Cheras
A0: All Stations,BRT03: Sunway Lagoon
A0: All Stations,BRT06: South Quay-USJ 1
A0: All Stations,AG02: Sentul
A0: All Stations,SP19: Awan Besar
A0: All Stations,KG28: Sri Raya
A0: All Stations,KJ18: Kerinchi
A0: All Stations,KJ08: Damai
A0: All Stations,KG29: Bandar Tun Hussien Onn
A0: All Stations,KJ32: Taipan
A0: All Stations,AG07: Masjid Jamek
A0: All Stations,MR01: KL Sentral
AG01: Sentul Timur,KG14: Semantan
AG01: Sentul Timur,KJ02: Taman Melati
AG01: Sentul Timur,AG04: PWTC
AG01: Sentul Timur,BRT06: South Quay-USJ 1
AG01: Sentul Timur,SP14: Bandar Tun Razak
AG01: Sentul Timur,KJ32: Taipan
AG01: Sentul Timur,SP28: Puchong Perdana
AG01: Sentul Timur,KG25: Taman Mutiara
AG01: Sentul Timur,KG07: Surian
AG01: Sentul Timur,KG24: Taman Midah
AG01: Sentul Timur,KJ09: Ampang Park
AG01: Sentul Timur,AG14: Pandan Jaya
AG01: Sentul Timur,SP19: Awan Besar
AG01: Sentul Timur,SP16: Sungai Besi
AG01: Sentul Timur,KG31: Bukit Dukung
AG01: Sentul Timur,KJ29: SS 15
AG01: Sentul Timur,KG27: Taman Suntex
AG01: Sentul Timur,SP13: Salak Selatan
AG01: Sentul Timur,KG06: Kota Damansara
AG01: Sentul Timur,MR08: Bukit Nanas
AG01: Sentul Timur,KJ34: USJ 21
AG01: Sentul Timur,KG17: Merdeka
AG01: Sentul Timur,KG15: Muzium Negara
AG01: Sentul Timur,AG13: Maluri
AG01: Sentul Timur,KJ13: Masjid Jamek
AG01: Sentul Timur,BRT05: SunU-Monash
AG01: Sentul Timur,KG08: Mutiara Damansara
AG01: Sentul Timur,KJ18: Kerinchi
AG01: Sentul Timur,AG05: Sultan Ismail
AG01: Sentul Timur,A0: All Stations
AG01: Sentul Timur,KG21: Cochrane
AG01: Sentul Timur,AG06: Bandaraya
AG01: Sentul Timur,KJ20: Taman Jaya
AG01: Sentul Timur,AG09: Hang Tuah
AG01: Sentul Timur,KJ05: Setiawangsa
AG01: Sentul Timur,KG34: Stadium Kajang
AG01: Sentul Timur,KG30: Batu 11 Cheras
AG01: Sentul Timur,AG01: Sentul Timur
AG01: Sentul Timur,KJ03: Wangsa Maju
AG01: Sentul Timur,KG20: Tun Razak Exchange
AG01: Sentul Timur,KG35: Kajang
AG01: Sentul Timur,KJ27: Cgc Glenmarie
AG01: Sentul Timur,AG02: Sentul
AG01: Sentul Timur,BRT03: Sunway Lagoon
AG01: Sentul Timur,AG11: Chan Sow Lin
AG01: Sentul Timur,SP20: Muhibbah
AG01: Sentul Timur,KJ16: Bank Rakyat Bangsar
AG01: Sentul Timur,SP22: Kinrara
AG01: Sentul Timur,KJ35: Alam Megah
AG01: Sentul Timur,MR05: Imbi
AG01: Sentul Timur,MR09: Medan Tuanku
AG01: Sentul Timur,KG04: Kwasa Damansara
AG01: Sentul Timur,SP21: Alam Sutera
AG01: Sentul Timur,SP26: Taman Perindustrian Puchong
AG01: Sentul Timur,KJ07: Dato' Keramat
AG01: Sentul Timur,KG22: Maluri
AG01: Sentul Timur,SP12: Cheras
AG01: Sentul Timur,AG12: Miharja
AG01: Sentul Timur,KG33: Sungai Jernih
AG01: Sentul Timur,KJ31: USJ 7
AG01: Sentul Timur,KJ14: Pasar Seni
AG01: Sentul Timur,KG29: Bandar Tun Hussien Onn
AG01: Sentul Timur,KJ30: SS 18
AG01: Sentul Timur,MR04: Hang Tuah
AG01: Sentul Timur,BRT04: SunMed
AG01: Sentul Timur,SP27: Bandar Puteri
AG01: Sentul Timur,MR01: KL Sentral
AG01: Sentul Timur,SP15: Bandar Tasik Selatan
AG01: Sentul Timur,SP29: Puchong Prima
AG01: Sentul Timur,MR10: Chow Kit
AG01: Sentul Timur,KG12: Phileo Damansara
AG01: Sentul Timur,MR02: Tun Sambanthan
AG01: Sentul Timur,KJ19: Universiti
AG01: Sentul Timur,KJ28: Subang Jaya
AG01: Sentul Timur,KJ04: Sri Rampai
AG01: Sentul Timur,KJ22: Taman Paramount
AG01: Sentul Timur,BRT01: Sunway-Setia Jaya
AG01: Sentul Timur,KJ36: Subang Alam
AG01: Sentul Timur,AG17: Cahaya
AG01: Sentul Timur,AG15: Pandan Indah
AG01: Sentul Timur,KG23: Taman Pertama
AG01: Sentul Timur,KJ23: Taman Bahagia
AG01: Sentul Timur,KG05: Kwasa Sentral
AG01: Sentul Timur,KJ21: Asia Jaya
AG01: Sentul Timur,SP18: Sri Petaling
AG01: Sentul Timur,KJ01: Gombak
AG01: Sentul Timur,MR07: Raja Chulan
AG01: Sentul Timur,MR11: Titiwangsa
AG01: Sentul Timur,SP31: Putra Heights
AG01: Sentul Timur,AG07: Masjid Jamek
AG01: Sentul Timur,MR06: Bukit Bintang
AG01: Sentul Timur,PYL03: Kampung Selamat
AG01: Sentul Timur,AG18: Ampang
AG01: Sentul Timur,MR03: Maharajalela
AG01: Sentul Timur,KG26: Taman Connaught
AG01: Sentul Timur,AG08: Plaza Rakyat
AG01: Sentul Timur,KJ24: Kelana Jaya
AG01: Sentul Timur,KJ10: KLCC
AG01: Sentul Timur,KJ15: KL Sentral
AG01: Sentul Timur,KJ25: Lembah Subang
AG01: Sentul Timur,BRT02: Mentari
AG01: Sentul Timur,AG03: Titiwangsa
AG01: Sentul Timur,KJ08: Damai
AG01: Sentul Timur,KJ17: Abdullah Hukum
AG01: Sentul Timur,KJ12: Dang Wangi
AG01: Sentul Timur,SP25: Pusat Bandar Puchong
AG01: Sentul Timur,KG10: TTDI
AG01: Sentul Timur,SP24: IOI Puchong Jaya
AG01: Sentul Timur,AG16: Cempaka
AG01: Sentul Timur,PYL04: Sungai Buloh
AG01: Sentul Timur,KG28: Sri Raya
AG01: Sentul Timur,KG18: Bukit Bintang
AG01: Sentul Timur,KG13: Pusat Bandar Damansara
AG01: Sentul Timur,KG09: Bandar Utama
AG01: Sentul Timur,KJ11: Kampung Baru
AG01: Sentul Timur,KJ26: Ara Damansara
AG01: Sentul Timur,AG10: Pudu
AG01: Sentul Timur,KG16: Pasar Seni
AG01: Sentul Timur,KJ33: Wawasan
AG01: Sentul Timur,KJ06: Jelatek
AG02: Sentul,KJ32: Taipan
AG02: Sentul,KG25: Taman Mutiara
AG02: Sentul,KJ03: Wangsa Maju
AG02: Sentul,KG29: Bandar Tun Hussien Onn
AG02: Sentul,KG24: Taman Midah
AG02: Sentul,SP24: IOI Puchong Jaya
AG02: Sentul,KJ02: Taman Melati
AG02: Sentul,AG16: Cempaka
AG02: Sentul,AG09: Hang Tuah
AG02: Sentul,A0: All Stations
AG02: Sentul,AG11: Chan Sow Lin
AG02: Sentul,SP27: Bandar Puteri
AG02: Sentul,BRT05: SunU-Monash
AG02: Sentul,KG20: Tun Razak Exchange
AG02: Sentul,KG23: Taman Pertama
AG02: Sentul,AG01: Sentul Timur
AG02: Sentul,KG35: Kajang
AG02: Sentul,KJ11: Kampung Baru
AG02: Sentul,KG10: TTDI
AG02: Sentul,KG13: Pusat Bandar Damansara
AG02: Sentul,AG05: Sultan Ismail
AG02: Sentul,KJ30: SS 18
AG02: Sentul,KJ27: Cgc Glenmarie
AG02: Sentul,AG18: Ampang
AG02: Sentul,KG09: Bandar Utama
AG02: Sentul,MR08: Bukit Nanas
AG02: Sentul,KJ15: KL Sentral
AG02: Sentul,KJ24: Kelana Jaya
AG02: Sentul,KJ33: Wawasan
AG02: Sentul,SP25: Pusat Bandar Puchong
AG02: Sentul,AG03: Titiwangsa
AG02: Sentul,SP15: Bandar Tasik Selatan
AG02: Sentul,MR04: Hang Tuah
AG02: Sentul,KG22: Maluri
AG02: Sentul,KG30: Batu 11 Cheras
AG02: Sentul,BRT01: Sunway-Setia Jaya
AG02: Sentul,BRT03: Sunway Lagoon
AG02: Sentul,KG04: Kwasa Damansara
AG02: Sentul,KG33: Sungai Jernih
AG02: Sentul,AG17: Cahaya
AG02: Sentul,KJ35: Alam Megah
AG02: Sentul,PYL04: Sungai Buloh
AG02: Sentul,KJ05: Setiawangsa
AG02: Sentul,KJ23: Taman Bahagia
AG02: Sentul,SP21: Alam Sutera
AG02: Sentul,KG06: Kota Damansara
AG02: Sentul,KG12: Phileo Damansara
AG02: Sentul,KJ31: USJ 7
AG02: Sentul,SP28: Puchong Perdana
AG02: Sentul,KJ21: Asia Jaya
AG02: Sentul,KG21: Cochrane
AG02: Sentul,KJ34: USJ 21
AG02: Sentul,KJ18: Kerinchi
AG02: Sentul,MR06: Bukit Bintang
AG02: Sentul,BRT06: South Quay-USJ 1
